Customer_id,Area,Children,Education,Employment,Marital,Churn,Outage_sec_perweek,Techie,Contract,Tablet,InternetService,Multiple,TechSupport,Tenure,MonthlyCharge,Bandwidth_GB_Year
X44200,Urban,5.0,No Degree,Retired,Separated,No,6.568343834,No,Two Year,Yes,Fiber Optic,Yes,Yes,16.87922024,185.6592942,1948.694497
H68068,Urban,0.0,Associate's,Full Time,Separated,Yes,12.63069124,No,Month-to-month,No,DSL,Yes,Yes,10.06019902,160.8055418,0.0
A403906,Suburban,0.0,Bachelor's,Full Time,Divorced,Yes,9.48221912,No,One year,No,No Internet Service,No,No,13.87001293,176.3345094,1840.014467
V847470,Urban,0.0,Some College,Retired,Married,Yes,14.42916512,No,Month-to-month,No,DSL,Yes,No,15.78214958,195.8726039,2070.376729
F721878,Rural,0.0,No Degree,Retired,Separated,Yes,10.21790303,No,Two Year,No,No Internet Service,No,Yes,0.0,203.0695973,882.0985933
F487435,Rural,3.0,High School or GED,Full Time,Widowed,No,11.10106846,Yes,Two Year,No,No Internet Service,No,Yes,17.10995632,154.0171018,1833.0967
B561228,Rural,3.0,Associate's,Part Time,Divorced,Yes,11.08853215,No,Month-to-month,No,DSL,Yes,No,12.80615845,150.1107392,1954.080809
X325271,Rural,4.0,No Degree,Retired,Never Married,No,12.18669792,No,Month-to-month,No,Fiber Optic,No,No,20.45390977,185.096264,2330.319383
I282896,Suburban,3.0,High School or GED,Retired,Divorced,No,6.520830558,No,Two Year,Yes,Fiber Optic,No,No,2.415991977,127.0317766,594.1054279
I367206,Urban,0.0,No Degree,Full Time,Widowed,No,9.970974396,No,Month-to-month,No,Fiber Optic,No,Yes,6.652298992,125.5623018,713.0633088
N37182,Urban,2.0,Bachelor's,Full Time,Divorced,No,7.490198816,No,One year,No,Fiber Optic,No,Yes,8.543717478,150.3295122,945.3802928
U644626,Rural,3.0,High School or GED,Full Time,Widowed,Yes,14.54825704,No,Month-to-month,Yes,No Internet Service,Yes,No,5.770390256,163.3124055,870.76398
A766555,Suburban,1.0,High School or GED,Full Time,Separated,Yes,11.37952059,No,Month-to-month,Yes,DSL,No,No,4.157658837,94.06699355,774.2937069
V54032,Rural,0.0,Bachelor's,Retired,Married,Yes,16.1723942,No,Month-to-month,No,Fiber Optic,No,No,10.40566091,222.9597637,1506.446527
Z301326,Urban,0.0,Postgraduate,Part Time,Widowed,Yes,15.8467065,No,Month-to-month,No,No Internet Service,No,No,1.392421597,141.092117,419.0508708
J887250,Urban,3.0,High School or GED,Full Time,Separated,Yes,43.92705189,Yes,One year,No,DSL,No,No,0.0,230.6237646,1259.415493
Z686376,Suburban,4.0,Bachelor's,Student,Never Married,Yes,12.35437248,No,Two Year,Yes,DSL,Yes,No,5.425864884,259.3879183,1745.125956
L357432,Urban,9.0,No Degree,Part Time,Married,No,7.472844182,No,Two Year,No,Fiber Optic,No,No,11.08287797,230.9648914,1795.465729
V899967,Rural,0.0,No Degree,Unemployed,Never Married,No,4.776157747,No,Two Year,Yes,No Internet Service,Yes,No,0.0,147.8152871,492.4771472
G571225,Rural,6.0,High School or GED,Retired,Divorced,Yes,8.913416857,No,Month-to-month,Yes,Fiber Optic,No,No,4.727388465,230.2438882,1013.993166
S381541,Rural,5.0,High School or GED,Full Time,Separated,Yes,11.99819427,No,Month-to-month,No,DSL,Yes,No,20.89923386,175.8247451,0.0
R195593,Urban,0.0,Bachelor's,Full Time,Widowed,Yes,5.312361826,No,One year,No,Fiber Optic,Yes,Yes,3.471329958,267.4362279,1081.814362
I327596,Suburban,1.0,No Degree,Full Time,Never Married,Yes,13.92937482,No,Month-to-month,No,DSL,Yes,Yes,5.478588204,162.6090148,1209.961168
U790894,Suburban,2.0,High School or GED,Full Time,Never Married,Yes,44.72520233,No,Month-to-month,No,Fiber Optic,Yes,Yes,3.312991809,258.4081654,897.5919144
O739489,Urban,1.0,Bachelor's,Full Time,Never Married,No,8.15350077,No,One year,Yes,DSL,Yes,No,7.161561527,138.7077155,1340.930156
I958127,Suburban,1.0,Some College,Full Time,Divorced,No,17.68357553,No,Two Year,No,Fiber Optic,No,Yes,9.847563364,185.8072481,1113.993679
Z666770,Suburban,1.0,High School or GED,Full Time,Divorced,No,7.790281114,No,Two Year,No,Fiber Optic,No,No,16.04202196,147.2911879,1530.10769
X711438,Urban,3.0,High School or GED,Full Time,Divorced,No,38.90533531,No,Month-to-month,No,Fiber Optic,No,No,9.179779682,199.9341262,0.0
U369541,Suburban,3.0,Some College,Retired,Married,No,6.522328696,No,Month-to-month,No,DSL,No,Yes,0.0,105.9429467,892.8964931
S896111,Suburban,4.0,Postgraduate,Full Time,Divorced,Yes,11.1979215,No,Two Year,No,Fiber Optic,Yes,Yes,3.924254455,253.7918326,1125.581944
K227200,Suburban,4.0,Some College,Retired,Never Married,No,8.561096928,No,Two Year,Yes,Fiber Optic,Yes,Yes,18.55959629,192.7622768,2016.710031
E818912,Rural,0.0,Some College,Full Time,Never Married,Yes,13.89466275,No,Two Year,No,Fiber Optic,Yes,No,8.798394712,243.3707028,1412.736809
Y490834,Urban,2.0,High School or GED,Full Time,Divorced,Yes,10.87564115,No,Month-to-month,Yes,No Internet Service,Yes,No,10.377366,245.4671211,0.0
B609739,Suburban,0.0,Associate's,Retired,Divorced,Yes,12.60910718,No,Month-to-month,No,Fiber Optic,No,Yes,22.25746016,185.0719404,2384.885909
E687638,Suburban,0.0,High School or GED,Full Time,Never Married,Yes,9.315148629,No,Month-to-month,No,Fiber Optic,Yes,Yes,9.427146079,194.5713157,1213.940165
E492264,Rural,0.0,Some College,Part Time,Separated,No,8.561161123,No,Two Year,No,No Internet Service,No,No,7.760290062,105.6553743,740.010722
W255321,Suburban,2.0,Bachelor's,Full Time,Married,No,12.37711977,No,Month-to-month,Yes,No Internet Service,No,Yes,11.56938439,92.42950948,897.9716153
S72442,Urban,2.0,No Degree,Retired,Separated,Yes,9.523347957,No,Month-to-month,No,DSL,Yes,Yes,3.343811019,185.545865,1026.387172
O845020,Urban,5.0,Postgraduate,Full Time,Divorced,Yes,8.546827521,No,Month-to-month,No,No Internet Service,No,No,7.338869531,188.1878188,1234.244324
D805597,Suburban,1.0,No Degree,Student,Never Married,No,2.663660525,No,Month-to-month,No,Fiber Optic,No,No,5.486534225,148.4154058,727.3731845
R189303,Urban,0.0,High School or GED,Full Time,Separated,Yes,8.505759564,Yes,One year,No,Fiber Optic,Yes,No,1.55278221,167.3108222,452.8721504
N142854,Urban,0.0,Some College,Full Time,Widowed,Yes,7.93962081,No,Month-to-month,No,Fiber Optic,Yes,No,12.07970325,158.9035122,1296.674543
F522569,Suburban,1.0,Some College,Full Time,Separated,No,12.13605498,No,One year,No,DSL,No,No,13.98666226,131.1822001,1840.628269
L384793,Suburban,1.0,No Degree,Full Time,Married,Yes,9.531952076,No,Month-to-month,No,DSL,No,No,9.563362997,116.095233,1324.330108
C101444,Rural,0.0,Bachelor's,Full Time,Widowed,No,11.31019855,No,Two Year,No,No Internet Service,No,Yes,6.732948946,142.3770231,958.1397059
E987442,Suburban,1.0,High School or GED,Full Time,Separated,Yes,11.23344836,No,Two Year,No,No Internet Service,Yes,Yes,15.72071086,221.1610613,0.0
L54611,Rural,0.0,No Degree,Student,Never Married,No,9.276154842,No,Two Year,No,Fiber Optic,No,No,7.233605493,125.8287767,676.712908
L85018,Suburban,1.0,Some College,Unemployed,Never Married,No,7.273891516,No,One year,Yes,DSL,No,Yes,2.871017037,163.8522919,1086.990308
O942919,Urban,1.0,Bachelor's,Full Time,Widowed,No,39.88390274,No,Month-to-month,No,Fiber Optic,Yes,Yes,2.344875382,225.2947474,704.7540406
I167253,Rural,0.0,Some College,Full Time,Separated,Yes,8.599583947,No,Month-to-month,No,DSL,No,No,7.960490246,150.2616031,1416.444695
R110564,Rural,0.0,High School or GED,Full Time,Widowed,No,5.487498047,No,Month-to-month,Yes,No Internet Service,No,No,12.25062113,91.90732298,1095.950634
M278354,Suburban,0.0,High School or GED,Full Time,Divorced,No,14.22358433,Yes,Month-to-month,Yes,No Internet Service,No,No,0.0,128.1616569,1083.610268
W604879,Urban,2.0,No Degree,Full Time,Never Married,No,9.701727666,No,Two Year,No,DSL,Yes,No,7.916533093,185.1946788,1570.641337
X345797,Suburban,3.0,High School or GED,Full Time,Married,Yes,7.029314673,No,Month-to-month,No,Fiber Optic,Yes,Yes,4.471254161,265.9812978,1007.425553
N189653,Urban,1.0,No Degree,Full Time,Widowed,Yes,10.76672425,No,Month-to-month,No,Fiber Optic,No,No,10.79028074,207.5721417,1323.028419
M562102,Urban,0.0,Some College,Unemployed,Separated,No,7.802308089,No,Month-to-month,Yes,DSL,Yes,No,12.24190682,152.3606978,1808.730555
X67911,Suburban,1.0,Some College,Retired,Separated,Yes,9.793779624,No,Month-to-month,No,DSL,No,No,2.203859443,198.6516357,1120.241472
O834546,Urban,4.0,Some College,Full Time,Married,Yes,5.824350345,No,One year,Yes,No Internet Service,No,Yes,23.92132231,212.350527,2676.789803
I493092,Rural,0.0,High School or GED,Full Time,Divorced,Yes,7.013094993,Yes,One year,No,DSL,Yes,Yes,3.7311787,254.1636111,1268.086909
H787644,Suburban,3.0,Associate's,Unemployed,Married,No,32.03094504,No,Two Year,No,Fiber Optic,No,No,0.0,162.6137295,822.6771666
N582710,Urban,3.0,Associate's,Full Time,Divorced,Yes,7.700593432,No,Month-to-month,No,Fiber Optic,No,Yes,0.0,256.579456,0.0
T689606,Urban,1.0,High School or GED,Full Time,Never Married,Yes,12.05902236,No,Month-to-month,No,Fiber Optic,Yes,No,2.378630018,214.1022755,0.0
E330599,Rural,2.0,High School or GED,Retired,Married,Yes,13.64707199,No,One year,Yes,DSL,Yes,Yes,5.43464555,271.3744783,1648.102673
C641592,Rural,4.0,High School or GED,Part Time,Widowed,Yes,9.033079233,No,Two Year,No,No Internet Service,No,Yes,1.092361222,201.5905907,768.0874545
E24772,Urban,1.0,Associate's,Full Time,Never Married,No,6.796336078,No,Two Year,No,DSL,No,No,20.13981517,149.2913801,2426.030626
A889769,Rural,1.0,High School or GED,Full Time,Never Married,Yes,13.69012091,No,Month-to-month,Yes,Fiber Optic,Yes,No,24.64873861,240.7606959,0.0
G391761,Rural,0.0,Associate's,Part Time,Divorced,No,13.64419363,No,Month-to-month,Yes,Fiber Optic,No,No,9.677739656,126.242338,1129.549713
A606860,Urban,1.0,Postgraduate,Full Time,Married,Yes,14.85470353,No,One year,No,DSL,No,No,9.82814183,188.6701828,1771.286466
E186097,Rural,0.0,Postgraduate,Full Time,Divorced,No,17.35455406,No,Month-to-month,No,Fiber Optic,Yes,Yes,7.832238337,171.6836341,943.3391244
I627613,Urban,5.0,No Degree,Student,Separated,No,7.117737737,No,Two Year,No,Fiber Optic,Yes,Yes,19.45250317,191.0610724,1907.226083
Z188641,Urban,4.0,High School or GED,Retired,Divorced,No,7.949187078,No,Month-to-month,Yes,DSL,No,Yes,14.34766616,119.689113,1885.939118
A740543,Suburban,0.0,High School or GED,Full Time,Divorced,No,8.999994263,No,One year,No,Fiber Optic,Yes,Yes,2.257358355,195.4035452,631.7435653
W681476,Rural,0.0,Associate's,Full Time,Never Married,No,4.274255962,No,One year,No,Fiber Optic,No,No,2.358129018,138.1911656,0.0
G842176,Suburban,3.0,No Degree,Full Time,Widowed,No,15.45723779,No,Month-to-month,No,No Internet Service,No,Yes,4.650578623,115.8369419,593.8572264
Z852663,Suburban,0.0,Bachelor's,Retired,Divorced,Yes,7.703726062,No,Month-to-month,No,No Internet Service,Yes,No,3.721772616,208.068307,777.3060718
C73741,Rural,0.0,High School or GED,Full Time,Separated,Yes,8.926117575,No,Month-to-month,No,DSL,No,No,3.76663012,187.6215728,1393.202392
W258972,Urban,0.0,High School or GED,Full Time,Never Married,No,12.74200169,No,One year,Yes,Fiber Optic,No,No,4.151256695,136.0997678,393.6524652
G491883,Rural,0.0,Some College,Unemployed,Separated,Yes,7.83211249,No,Month-to-month,No,Fiber Optic,Yes,No,2.188918771,192.0084484,0.0
C302549,Urban,0.0,High School or GED,Student,Widowed,Yes,13.60393581,No,Month-to-month,Yes,DSL,No,No,13.85488928,221.0353527,2138.107161
K581313,Suburban,0.0,Some College,Student,Separated,No,5.655483352,No,Two Year,No,Fiber Optic,No,Yes,3.273341151,163.0404044,443.984031
T46150,Suburban,2.0,Associate's,Full Time,Never Married,Yes,8.065866812,No,Two Year,No,DSL,Yes,No,19.75096265,161.1025056,2481.385603
B260505,Suburban,0.0,Other,Part Time,Never Married,No,11.47541549,No,Two Year,Yes,DSL,Yes,Yes,18.38404445,186.6210869,2233.567181
W877056,Suburban,0.0,High School or GED,Full Time,Divorced,Yes,10.37979788,No,Month-to-month,No,Fiber Optic,No,No,4.672610857,244.4658583,0.0
M478246,Rural,0.0,High School or GED,Full Time,Married,No,8.657901827,No,Month-to-month,No,Fiber Optic,No,No,6.796299371,124.8019028,529.40733
N417817,Suburban,10.0,Other,Part Time,Divorced,Yes,6.398436616,No,Month-to-month,No,Fiber Optic,No,Yes,0.0,188.611913,1956.7337
R180138,Rural,0.0,Some College,Retired,Never Married,No,9.33803434,No,Month-to-month,No,Fiber Optic,No,Yes,20.31163945,162.443765,2056.386979
N931384,Suburban,0.0,Postgraduate,Full Time,Never Married,No,12.24404403,No,One year,No,Fiber Optic,Yes,No,6.998814446,180.2362145,1067.373076
O967373,Urban,0.0,No Degree,Full Time,Separated,Yes,10.82210354,No,Month-to-month,No,No Internet Service,No,Yes,14.46288204,222.7999248,1806.135733
G695985,Urban,1.0,Bachelor's,Full Time,Never Married,No,14.2128601,No,One year,No,Fiber Optic,Yes,No,11.13472066,182.8863727,1397.701335
P33478,Urban,0.0,Bachelor's,Full Time,Divorced,Yes,12.58013188,No,Month-to-month,Yes,No Internet Service,Yes,No,2.542296644,220.3400058,0.0
K100436,Rural,2.0,High School or GED,Full Time,Separated,No,11.2210066,No,Two Year,No,Fiber Optic,No,No,0.0,170.9110193,1886.531937
L475907,Suburban,0.0,Bachelor's,Full Time,Divorced,Yes,15.66159152,No,Month-to-month,No,Fiber Optic,Yes,No,22.79214163,205.7639543,2294.781131
A78095,Urban,3.0,High School or GED,Retired,Widowed,Yes,5.535347323,No,Month-to-month,No,Fiber Optic,Yes,No,3.823689744,203.7817651,826.3438621
X742990,Urban,3.0,Some College,Full Time,Widowed,Yes,8.06201289,No,Month-to-month,No,DSL,Yes,No,10.77094687,245.0660727,0.0
P347346,Urban,2.0,Some College,Student,Divorced,Yes,13.04270304,No,Month-to-month,Yes,No Internet Service,Yes,Yes,13.08671185,170.9069787,1436.793746
O235183,Suburban,0.0,High School or GED,Full Time,Married,Yes,13.73417339,No,Month-to-month,No,DSL,Yes,Yes,14.76468813,173.540759,1963.332683
R776311,Suburban,3.0,Associate's,Part Time,Married,Yes,11.35797937,No,Month-to-month,No,Fiber Optic,Yes,Yes,9.473091121,194.3065983,1324.164906
C25146,Urban,1.0,Associate's,Full Time,Divorced,No,13.82441538,No,Month-to-month,No,Fiber Optic,No,No,5.197446331,135.5831384,704.9375603
E722502,Urban,1.0,Bachelor's,Student,Widowed,Yes,12.83804501,No,Two Year,Yes,Fiber Optic,Yes,No,6.577552683,194.0043524,0.0
D515341,Rural,0.0,Associate's,Full Time,Never Married,Yes,8.357284687,No,Month-to-month,No,Fiber Optic,No,Yes,3.174571918,158.0420478,377.0810282
U972291,Urban,1.0,Some College,Full Time,Widowed,No,8.32819175,No,Month-to-month,No,Fiber Optic,No,No,17.88002366,113.2171506,1606.489936
N374641,Urban,0.0,Some College,Full Time,Divorced,Yes,10.54819139,Yes,Month-to-month,No,Fiber Optic,No,Yes,13.12190056,175.1031837,1431.409396
R736057,Urban,0.0,Some College,Full Time,Divorced,No,7.664895103,Yes,Month-to-month,No,Fiber Optic,No,No,23.34617699,162.9713747,2253.85247
K401117,Urban,0.0,No Degree,Full Time,Married,No,9.418424281,Yes,One year,Yes,DSL,Yes,No,6.311709178,137.0944878,1353.29384
O17401,Urban,0.0,No Degree,Part Time,Divorced,No,11.53243433,No,Two Year,Yes,Fiber Optic,Yes,No,12.58298231,276.0538352,1701.457566
E779833,Rural,0.0,High School or GED,Full Time,Married,Yes,6.746267321,No,Month-to-month,No,DSL,No,No,7.120096363,128.4032505,0.0
Q527077,Urban,0.0,Bachelor's,Full Time,Divorced,Yes,8.809358115,Yes,Two Year,No,No Internet Service,No,Yes,9.344886869,209.8844788,1403.270091
Q765651,Rural,4.0,High School or GED,Student,Divorced,No,15.77290448,Yes,Two Year,No,DSL,Yes,No,22.37815032,146.6848887,2603.903672
W400552,Urban,3.0,Bachelor's,Full Time,Divorced,Yes,4.767299756,No,One year,Yes,No Internet Service,Yes,No,4.799514433,242.8850241,1256.287854
S979985,Suburban,1.0,Some College,Student,Widowed,No,8.525291338,Yes,Month-to-month,Yes,No Internet Service,No,Yes,10.04672315,116.2578796,980.9935923
E351590,Urban,0.0,Postgraduate,Full Time,Divorced,No,8.601294241,No,Month-to-month,Yes,No Internet Service,No,No,8.156552837,187.3140137,1347.869205
J227824,Suburban,0.0,Bachelor's,Student,Separated,No,11.94399076,No,Two Year,No,No Internet Service,Yes,No,7.992791229,149.3564756,1127.267848
S136858,Suburban,2.0,Some College,Full Time,Widowed,No,12.00354554,No,Two Year,Yes,DSL,Yes,No,7.231032028,125.3158375,1269.836202
N883325,Urban,0.0,Postgraduate,Full Time,Separated,Yes,7.023897487,No,Month-to-month,Yes,No Internet Service,Yes,No,4.627672042,221.1091638,1038.745378
U700981,Urban,0.0,Bachelor's,Full Time,Never Married,No,12.24142125,No,Two Year,No,DSL,Yes,Yes,10.05306287,172.9731248,1531.155367
X267853,Urban,0.0,No Degree,Full Time,Separated,No,8.145156606,No,Two Year,Yes,DSL,No,Yes,4.171044392,118.9763446,991.2441024
S985225,Urban,5.0,High School or GED,Full Time,Divorced,Yes,7.469785397,No,Month-to-month,No,No Internet Service,Yes,No,4.568682641,219.2776188,0.0
X645702,Rural,0.0,High School or GED,Full Time,Divorced,Yes,39.69685071,No,Month-to-month,No,DSL,No,No,6.085030507,168.9164634,1162.332926
I703479,Rural,8.0,Associate's,Retired,Divorced,No,13.23580565,No,Month-to-month,No,Fiber Optic,No,Yes,2.730250735,161.8238002,577.1157824
S370452,Rural,0.0,No Degree,Retired,Divorced,Yes,1.870075975,No,Month-to-month,No,DSL,Yes,Yes,8.574901206,184.5090853,1442.974877
D333249,Suburban,3.0,High School or GED,Full Time,Divorced,Yes,5.90315482,No,Month-to-month,No,Fiber Optic,Yes,No,9.743201772,253.2506431,1577.208717
O698848,Suburban,0.0,High School or GED,Full Time,Separated,No,33.93054202,No,Month-to-month,No,Fiber Optic,No,No,9.482919033,141.1274081,886.9398744
M248356,Rural,1.0,Some College,Part Time,Married,No,6.249019913,No,Two Year,No,Fiber Optic,Yes,No,8.447988841,179.0707979,1065.06443
E759213,Suburban,0.0,No Degree,Full Time,Married,No,2.37365872,No,One year,Yes,Fiber Optic,Yes,No,0.0,202.6966552,951.886985
G106476,Urban,1.0,No Degree,Unemployed,Widowed,No,3.600274015,No,One year,No,DSL,Yes,Yes,7.251397592,196.0942607,1404.435534
D873414,Suburban,4.0,High School or GED,Full Time,Never Married,Yes,6.430566138,No,One year,No,Fiber Optic,Yes,No,14.64011644,255.0383823,0.0
X906302,Urban,0.0,Bachelor's,Full Time,Married,Yes,9.805488063,Yes,Month-to-month,Yes,DSL,Yes,Yes,11.71637124,177.3716663,0.0
Z245249,Urban,4.0,High School or GED,Full Time,Divorced,No,11.63315076,No,Two Year,No,Fiber Optic,Yes,Yes,4.13273503,170.2282529,700.7343179
T30358,Rural,1.0,High School or GED,Full Time,Widowed,Yes,11.37533904,No,Month-to-month,No,Fiber Optic,Yes,No,0.0,192.516315,513.237305
K974027,Suburban,0.0,Some College,Full Time,Never Married,No,13.11560931,No,Month-to-month,Yes,Fiber Optic,No,No,3.303030246,184.2688987,0.0
R464272,Urban,3.0,No Degree,Full Time,Divorced,No,10.41519664,No,One year,Yes,DSL,No,No,5.15825129,140.0646925,0.0
Q541158,Suburban,10.0,No Degree,Full Time,Married,Yes,13.12456536,No,Month-to-month,No,No Internet Service,No,No,3.237560234,136.8705643,819.4195269
O707075,Rural,8.0,High School or GED,Full Time,Divorced,Yes,15.38702472,No,Month-to-month,No,Fiber Optic,Yes,Yes,2.733109234,217.4503781,882.1160656
L229402,Rural,1.0,No Degree,Student,Divorced,Yes,12.05074151,No,Two Year,Yes,No Internet Service,No,Yes,3.180102025,210.2222873,724.7803356
Y259927,Suburban,0.0,Associate's,Full Time,Divorced,No,9.823213453,No,Two Year,No,DSL,No,No,15.85983755,104.6070477,0.0
G820541,Rural,0.0,High School or GED,Unemployed,Separated,Yes,14.42972975,No,Month-to-month,No,Fiber Optic,Yes,No,11.73724209,263.0255063,1668.199119
F672614,Urban,4.0,High School or GED,Unemployed,Married,Yes,16.73300387,No,Month-to-month,Yes,No Internet Service,No,Yes,7.006240694,154.5935618,1124.353152
L686627,Suburban,2.0,High School or GED,Full Time,Never Married,Yes,9.200556985,No,One year,No,DSL,Yes,Yes,5.562130367,173.2698122,0.0
T660448,Urban,2.0,Some College,Part Time,Never Married,No,7.873925555,No,One year,No,Fiber Optic,No,Yes,14.53027663,219.0979664,1637.201426
G864898,Urban,1.0,Some College,Full Time,Divorced,No,10.73651517,Yes,Month-to-month,Yes,Fiber Optic,No,No,5.905906389,162.6872403,951.8524406
V847401,Suburban,0.0,High School or GED,Full Time,Married,Yes,11.6225905,No,Month-to-month,Yes,DSL,Yes,No,3.260462654,184.2411228,1248.097652
X852253,Urban,4.0,Some College,Full Time,Separated,No,9.985758463,No,One year,No,Fiber Optic,Yes,No,18.91276578,217.1759217,2220.255405
M482085,Urban,1.0,No Degree,Full Time,Married,No,9.261203343,No,Two Year,No,Fiber Optic,No,Yes,14.25617986,220.8670688,1669.202417
L535753,Suburban,0.0,Associate's,Part Time,Separated,Yes,9.06736268,Yes,One year,No,No Internet Service,No,Yes,7.983887266,188.8828828,990.0555076
K265986,Rural,1.0,No Degree,Full Time,Divorced,No,7.519193234,Yes,Two Year,Yes,Fiber Optic,No,Yes,5.969967132,175.495369,967.9819136
C695447,Rural,0.0,High School or GED,Full Time,Married,Yes,11.54405238,No,Two Year,No,Fiber Optic,Yes,No,19.95277818,252.7773675,2190.259876
T484755,Suburban,0.0,Bachelor's,Full Time,Never Married,No,10.22501535,No,One year,No,No Internet Service,No,Yes,14.85781115,129.8069322,1445.752781
X999392,Urban,0.0,Some College,Retired,Widowed,Yes,16.4453186,No,Month-to-month,No,Fiber Optic,No,No,2.600063739,163.5417337,528.6553088
N995093,Urban,3.0,Some College,Full Time,Married,Yes,9.848350148,No,Month-to-month,No,Fiber Optic,Yes,No,11.92299244,181.6357117,1296.481055
D478815,Rural,3.0,High School or GED,Full Time,Married,No,10.71627075,No,Two Year,No,DSL,No,No,5.972864167,140.0267951,1195.393037
I338069,Suburban,0.0,No Degree,Part Time,Widowed,Yes,10.26769571,Yes,Two Year,No,No Internet Service,No,Yes,10.87555535,199.5164467,0.0
T278739,Rural,3.0,High School or GED,Unemployed,Married,Yes,8.685938977,No,Two Year,No,No Internet Service,No,Yes,16.00330155,202.7881738,0.0
R857699,Suburban,0.0,High School or GED,Full Time,Divorced,No,7.612883323,No,Two Year,No,Fiber Optic,No,Yes,12.63074989,158.567181,1238.421347
Q386914,Suburban,1.0,Some College,Retired,Married,No,6.868690404,No,Month-to-month,No,Fiber Optic,No,Yes,8.4944392,149.2144362,847.110799
T132275,Suburban,8.0,Postgraduate,Full Time,Divorced,Yes,10.39267899,No,Month-to-month,No,Fiber Optic,No,No,8.044444101,151.1347447,1112.937102
T392167,Rural,3.0,High School or GED,Retired,Divorced,No,8.703192042,No,Two Year,Yes,DSL,Yes,Yes,12.07358377,136.5814796,1623.045026
J315269,Urban,4.0,Bachelor's,Student,Never Married,Yes,13.6104781,No,One year,No,No Internet Service,No,No,10.21634248,187.906212,1479.730181
B124449,Suburban,0.0,High School or GED,Retired,Married,Yes,5.661160853,No,Month-to-month,No,DSL,Yes,No,15.50354683,166.2744191,2144.735024
P954849,Suburban,0.0,Some College,Full Time,Married,Yes,11.71135346,No,Month-to-month,No,Fiber Optic,No,No,0.0,161.0835097,1522.289512
K20948,Suburban,0.0,Some College,Full Time,Widowed,No,11.83990902,No,One year,No,Fiber Optic,Yes,No,19.48900163,171.4896574,1974.780054
M893176,Rural,0.0,Bachelor's,Full Time,Widowed,Yes,4.278562665,No,Two Year,No,Fiber Optic,Yes,Yes,10.01771765,205.4608577,1261.177198
P765785,Rural,2.0,Bachelor's,Unemployed,Widowed,No,17.72745923,No,One year,No,Fiber Optic,No,No,7.34059599,147.6333142,939.7181324
X780945,Suburban,3.0,Postgraduate,Full Time,Divorced,Yes,12.17520352,No,Month-to-month,No,Fiber Optic,No,Yes,12.64742067,163.4094824,1357.062854
H776847,Suburban,1.0,High School or GED,Full Time,Divorced,No,38.84239397,No,Two Year,No,DSL,No,No,8.850426839,150.2503098,1456.887443
A471876,Rural,6.0,Bachelor's,Full Time,Divorced,Yes,6.716441223,No,One year,No,Fiber Optic,No,No,3.701557118,208.2316853,937.5863866
B424659,Urban,0.0,Bachelor's,Full Time,Separated,No,12.96882577,No,One year,No,No Internet Service,Yes,Yes,2.976033785,194.0602663,830.1193011
F111037,Rural,0.0,High School or GED,Student,Widowed,No,8.006243337,No,Two Year,No,Fiber Optic,No,No,5.522376826,175.0764532,737.8564608
S690107,Rural,0.0,Some College,Full Time,Divorced,Yes,13.44168712,No,Month-to-month,No,Fiber Optic,Yes,No,15.64596698,241.0182456,1781.854862
